date,symbol,action,price,qty,pnl_pct,reason
2021-03-05,TSLA,EXIT,199.15721231689452,,-8.531535798041638,STOP LOSS (-8.5%)
2021-03-05,TSLA,BUY,199.47611898193358,20.0,,
2021-03-15,TSLA,EXIT,235.79121173095703,,18.29987315369396,TAKE PROFIT (18.3%)
2021-03-25,TSLA,BUY,213.6341037963867,20.0,,
2021-04-13,TSLA,EXIT,253.90338885498045,,18.944807818008012,TAKE PROFIT (18.9%)
2021-04-13,TSLA,BUY,254.3099595336914,20.0,,
2021-04-28,TSLA,EXIT,231.2814862182617,,-8.982463773608773,STOP LOSS (-9.0%)
2021-05-12,TSLA,BUY,196.78730888671873,20.0,,
2021-07-02,MSFT,EXIT,266.82329672851563,,19.66901564365726,TAKE PROFIT (19.7%)
2021-07-02,MSFT,BUY,267.25055581054687,20.0,,
2021-07-02,GOOGL,EXIT,124.13134356689453,,19.834895126665707,TAKE PROFIT (19.8%)
2021-07-02,GOOGL,BUY,124.33011273193358,20.0,,
2021-07-14,AAPL,EXIT,145.40177392578124,,19.093655742851766,TAKE PROFIT (19.1%)
2021-07-14,AAPL,BUY,145.63460302734373,20.0,,
2021-08-02,TSLA,EXIT,236.36742580566406,,20.20931252164882,TAKE PROFIT (20.2%)
2021-08-12,TSLA,BUY,240.94259999999997,20.0,,
2021-10-18,TSLA,EXIT,289.8046527832031,,20.37584143646922,TAKE PROFIT (20.4%)
2021-10-18,TSLA,BUY,290.26871147460935,20.0,,
2021-10-27,TSLA,EXIT,345.6765759521484,,19.183820007864824,TAKE PROFIT (19.2%)
2021-10-27,TSLA,BUY,346.23010129394527,19.892343958547496,,
2021-10-29,MSFT,EXIT,319.29889128417966,,19.57113950350047,TAKE PROFIT (19.6%)
2021-10-29,MSFT,BUY,319.81017854003903,20.0,,
2021-10-29,GOOGL,EXIT,146.71497728271484,,18.09885796041066,TAKE PROFIT (18.1%)
2021-11-04,GOOGL,BUY,147.16976572265625,20.0,,
2021-11-04,TSLA,EXIT,409.6420252197266,,18.409693348021015,TAKE PROFIT (18.4%)
2021-11-04,TSLA,BUY,410.2979772216797,17.202842949174215,,
2021-11-09,TSLA,EXIT,340.8937231689453,,-16.849052290157434,STOP LOSS (-16.8%)
2021-11-09,TSLA,BUY,341.43958981933594,20.0,,
2021-12-10,AAPL,EXIT,175.45813865966795,,20.574790539815112,TAKE PROFIT (20.6%)
2021-12-10,AAPL,BUY,175.7390964477539,20.0,,
2021-12-16,TSLA,EXIT,308.7261489746094,,-9.508640225287255,STOP LOSS (-9.5%)
2021-12-16,TSLA,BUY,309.22050629882807,20.0,,
2022-01-03,TSLA,EXIT,399.6067249267578,,29.333811346030163,TAKE PROFIT (29.3%)
2022-01-03,TSLA,BUY,400.2466075927734,17.718061655158827,,
2022-01-05,TSLA,EXIT,362.4164997070312,,-9.379203181630835,STOP LOSS (-9.4%)
2022-01-05,TSLA,BUY,362.9968303710937,19.419579151045127,,
2022-01-18,MSFT,EXIT,291.9383814453125,,-8.642019939948176,STOP LOSS (-8.6%)
2022-01-18,MSFT,BUY,292.40585683593747,20.0,,
