date,symbol,action,price,pnl_pct,commission,reason
2023-02-02,MSFT,EXIT,258.0392436767578,-8.603871792359366,,STOP LOSS (-8.6%)
2023-04-24,MSFT,BUY,275.4717270996093,,0.06886793177490233,
2023-05-25,MSFT,EXIT,318.82088044433596,15.828998030729084,,TAKE PROFIT (15.8%)
2023-06-07,MSFT,BUY,316.84274912109373,,0.07921068728027343,
2023-11-16,MSFT,EXIT,369.5038733642578,16.713957999850688,,TAKE PROFIT (16.7%)
2023-12-04,MSFT,BUY,363.1790744384765,,0.09079476860961913,
2024-03-14,MSFT,EXIT,418.45705007324216,15.312834140497502,,TAKE PROFIT (15.3%)
2024-03-15,MSFT,BUY,410.4531916259765,,0.10261329790649412,
2025-03-10,MSFT,EXIT,376.96994162597656,-8.084096620452106,,STOP LOSS (-8.1%)
2025-07-29,MSFT,BUY,510.01733737792966,,0.2550086686889648,
2026-01-14,MSFT,EXIT,457.9672257080078,-10.133664243920775,,STOP LOSS (-10.1%)
2026-01-27,MSFT,BUY,479.86918417968747,,0.11996729604492187,
2026-01-29,MSFT,EXIT,432.1668071289062,-9.868599267908467,,STOP LOSS (-9.9%)
2018-06-25,GOOGL,BUY,56.5422526977539,,0.014135563174438476,
2018-10-29,GOOGL,EXIT,51.271354708862305,-9.249451190318943,,STOP LOSS (-9.2%)
2019-03-07,GOOGL,BUY,57.11646887512207,,0.014279117218780517,
2019-06-03,GOOGL,EXIT,51.47005578918457,-9.813639016010855,,STOP LOSS (-9.8%)
2019-07-22,GOOGL,BUY,56.538778546142574,,0.014134694636535643,
2019-11-15,GOOGL,EXIT,66.07753540649414,16.964747839980728,,TAKE PROFIT (17.0%)
2019-12-02,GOOGL,BUY,63.96587712707519,,0.031982938563537594,
2020-01-22,GOOGL,EXIT,73.52644364013672,15.03838483049829,,TAKE PROFIT (15.0%)
2020-01-27,GOOGL,BUY,71.05647930908202,,0.017764119827270507,
2020-02-27,GOOGL,EXIT,65.15638265991211,-8.229974052236578,,STOP LOSS (-8.2%)
2020-03-10,GOOGL,SELL,63.18526641845703,,0.01579631660461426,
2020-03-16,GOOGL,EXIT,53.25279614868164,15.786969047636449,,TAKE PROFIT (15.8%)
2020-06-11,GOOGL,BUY,69.57604022827148,,0.01739401005706787,
2020-08-26,GOOGL,EXIT,81.46740481567383,17.184925518771106,,TAKE PROFIT (17.2%)
2020-09-04,GOOGL,BUY,78.47515211791992,,0.01961878802947998,
2020-09-18,GOOGL,EXIT,71.90217189331055,-8.302516474349746,,STOP LOSS (-8.3%)
2020-12-09,GOOGL,BUY,88.23485335693358,,0.022058713339233395,
2021-02-03,GOOGL,EXIT,102.0184633178711,15.714073915434296,,TAKE PROFIT (15.7%)
2021-02-25,GOOGL,BUY,100.05121417236327,,0.02501280354309082,
2021-04-28,GOOGL,EXIT,116.89153458251953,16.92524038651634,,TAKE PROFIT (16.9%)
2021-05-21,GOOGL,BUY,113.85723306884765,,0.028464308267211913,
2021-07-23,GOOGL,EXIT,131.81909713134766,15.868472546709084,,TAKE PROFIT (15.9%)
2021-09-10,GOOGL,BUY,139.83299890136718,,0.0699164994506836,
2022-01-25,GOOGL,EXIT,125.79376226196288,-9.967976920069198,,STOP LOSS (-10.0%)
2022-04-28,GOOGL,SELL,117.45690071411133,,0.029364225178527832,
2022-09-21,GOOGL,EXIT,98.54494420166014,16.168253490432285,,TAKE PROFIT (16.2%)
2023-04-25,GOOGL,BUY,103.08110960083008,,0.025770277400207518,
2023-05-17,GOOGL,EXIT,119.75357722167969,16.267138810605385,,TAKE PROFIT (16.3%)
2023-06-16,GOOGL,BUY,122.61540130004882,,0.030653850325012204,
2024-01-10,GOOGL,EXIT,141.00080228271483,15.086434282418734,,TAKE PROFIT (15.1%)
2024-02-02,GOOGL,BUY,141.32584566650388,,0.03533146141662597,
2024-04-26,GOOGL,EXIT,170.40403393554686,20.67181731997527,,TAKE PROFIT (20.7%)
2024-05-30,GOOGL,BUY,170.8357475830078,,0.04270893689575195,
2024-09-03,GOOGL,EXIT,156.12419193115235,-8.538351314171294,,STOP LOSS (-8.5%)
2024-10-09,GOOGL,BUY,161.05943913574217,,0.04026485978393554,
2024-12-11,GOOGL,EXIT,194.34519282226563,20.763361961731686,,TAKE PROFIT (20.8%)
2025-01-17,GOOGL,BUY,195.25413142089843,,0.048813532855224606,
2025-02-21,GOOGL,EXIT,178.69015485839844,-8.410019222565857,,STOP LOSS (-8.4%)
2025-02-24,GOOGL,SELL,178.28236977539063,,0.04457059244384766,
2025-04-03,GOOGL,EXIT,150.3193475830078,15.752080016857196,,TAKE PROFIT (15.8%)
2025-06-03,GOOGL,BUY,165.73825854492185,,0.041434564636230464,
2025-07-22,GOOGL,EXIT,190.756940234375,15.187446546631639,,TAKE PROFIT (15.2%)
2025-10-16,GOOGL,BUY,251.3197457885742,,0.06282993644714355,
2025-11-10,GOOGL,EXIT,289.47465576171874,15.274038651207514,,TAKE PROFIT (15.3%)
2025-12-19,GOOGL,BUY,307.18949436035155,,0.07679737359008788,
2026-03-26,GOOGL,EXIT,280.69527741699216,-8.551555770914975,,STOP LOSS (-8.6%)
2018-07-02,TSLA,BUY,22.355869743347167,,0.005588967435836792,
2018-07-23,TSLA,EXIT,20.197162463378906,-9.583776601229962,,STOP LOSS (-9.6%)
2018-08-01,TSLA,SELL,20.039954956054686,,0.005009988739013671,
2018-08-02,TSLA,EXIT,23.321309751892088,-16.281037901022827,,STOP LOSS (-16.3%)
2018-09-12,TSLA,SELL,19.353837800598143,,0.0048384594501495355,
2018-10-25,TSLA,EXIT,21.00745987701416,-8.457389998850347,,STOP LOSS (-8.5%)
2018-12-17,TSLA,BUY,23.246583041381832,,0.005811645760345458,
2018-12-20,TSLA,EXIT,21.00851313781738,-9.555166163073144,,STOP LOSS (-9.6%)
